year,avg_temp,NYC temp,movavg,movavg,
1750,8.72,10.07,#N/A,#N/A,
1751,7.98,10.79,#N/A,#N/A,
1752,5.78,2.81,#N/A,#N/A,
1753,8.39,9.52,#N/A,#N/A,
1754,8.47,9.88,#N/A,#N/A,
1755,8.36,6.61,#N/A,#N/A,
1756,8.85,9.94,8.078571429,8.517142857,
1757,9.02,8.89,8.121428571,8.348571429,
1758,6.74,8.15,7.944285714,7.971428571,
1759,7.99,9.01,8.26,8.857142857,
1760,7.19,7.73,8.088571429,8.601428571,
1761,8.77,10.18,8.131428571,8.644285714,
1762,8.61,9.55,8.167142857,9.064285714,
1763,7.5,7.23,7.974285714,8.677142857,
1764,8.4,9.55,7.885714286,8.771428571,
1765,8.25,8.96,8.101428571,8.887142857,
1766,8.41,10.09,8.161428571,9.041428571,
1767,8.22,8.52,8.308571429,9.154285714,
1768,6.78,8.67,8.024285714,8.938571429,
1769,7.69,9.1,7.892857143,8.874285714,
1770,7.69,9.04,7.92,9.132857143,
1771,7.85,10.18,7.841428571,9.222857143,
1772,8.19,9.64,7.832857143,9.32,
1773,8.22,10.08,7.805714286,9.318571429,
1774,8.77,9.52,7.884285714,9.461428571,
1775,9.18,10.24,8.227142857,9.685714286,
1776,8.3,9.13,8.314285714,9.69,
1777,8.26,8.77,8.395714286,9.651428571,
1778,8.54,6.89,8.494285714,9.181428571,
1779,8.98,0.25,8.607142857,7.84,
1780,9.43,,8.78,7.466666667,
1781,8.1,9.79,8.684285714,7.511666667,
1782,7.9,9.15,8.501428571,7.33,
1783,7.68,8.81,8.412857143,7.276666667,
1784,7.86,8.4,8.355714286,7.215,
1785,7.36,8.49,8.187142857,7.481666667,
1786,8.26,8.98,8.084285714,8.936666667,
1787,8.03,8.97,7.884285714,8.941428571,
1788,8.45,9.77,7.934285714,8.938571429,1.004285714
1789,8.33,9.42,7.995714286,8.977142857,0.981428571
1790,7.98,9.39,8.038571429,9.06,1.021428571
1791,8.23,9.37,8.091428571,9.198571429,1.107142857
1792,8.09,8.72,8.195714286,9.231428571,1.035714286
1793,8.23,9.88,8.191428571,9.36,1.168571429
1794,8.53,9.83,8.262857143,9.482857143,1.22
1795,8.35,9.21,8.248571429,9.402857143,1.154285714
1796,8.27,8.97,8.24,9.338571429,1.098571429
1797,8.51,8.85,8.315714286,9.261428571,0.945714286
1798,8.67,9.71,8.378571429,9.31,0.931428571
1799,8.51,9.19,8.438571429,9.377142857,0.938571429
1800,8.48,9.58,8.474285714,9.334285714,0.86
1801,8.59,10,8.482857143,9.358571429,0.875714286
1802,8.58,10.29,8.515714286,9.512857143,0.997142857
1803,8.5,10.07,8.548571429,9.67,1.121428571
1804,8.84,9.69,8.595714286,9.79,1.194285714
1805,8.56,10.43,8.58,9.892857143,1.312857143
1806,8.43,9.38,8.568571429,9.92,1.351428571
1807,8.28,9.17,8.54,9.861428571,1.321428571
1808,7.63,9.57,8.402857143,9.8,1.397142857
1809,7.08,8.87,8.188571429,9.597142857,1.408571429
1810,6.92,9.35,7.962857143,9.494285714,1.531428571
